date;Market Cap;Volume;Open;Close
28.01.2025;$2.019.295.541.214;$93.191.643.783;$101.958;N/A
27.01.2025;$2.036.324.005.947;$20.639.818.380;$102.552;$101.958
26.01.2025;$2.077.647.817.531;$22.740.744.965;$104.796;$102.552
25.01.2025;$2.076.156.720.643;$51.418.786.363;$104.835;$104.796
24.01.2025;$2.062.360.759.045;$102.455.227.371;$104.068;$104.835
23.01.2025;$2.054.288.661.794;$55.030.669.603;$103.674;$104.068
22.01.2025;$2.098.829.000.928;$95.344.290.058;$106.182;$103.674
21.01.2025;$2.017.837.068.202;$120.158.523.167;$101.765;$106.182
20.01.2025;$2.014.842.808.850;$72.970.313.684;$101.275;$101.765
19.01.2025;$2.067.151.195.362;$49.416.447.749;$104.335;$101.275
18.01.2025;$2.063.854.663.834;$69.135.117.732;$104.161;$104.335
17.01.2025;$1.980.935.754.458;$50.150.102.497;$100.045;$104.161
16.01.2025;$1.986.831.430.652;$57.637.319.740;$100.313;$100.045
15.01.2025;$1.912.603.332.624;$51.241.728.229;$96.574;$100.313
14.01.2025;$1.870.609.367.805;$76.328.330.233;$94.456;$96.574
13.01.2025;$1.870.314.882.307;$19.608.932.596;$94.455;$94.456
12.01.2025;$1.874.286.243.378;$17.836.423.168;$94.560;$94.455
11.01.2025;$1.876.836.759.923;$63.433.655.717;$94.737;$94.560
10.01.2025;$1.832.933.628.118;$65.850.881.575;$92.376;$94.737
09.01.2025;$1.885.313.354.914;$65.790.469.838;$95.017;$92.376
08.01.2025;$1.919.133.187.081;$60.610.257.147;$96.952;$95.017
07.01.2025;$2.024.825.178.620;$46.111.387.334;$102.229;$96.952
06.01.2025;$1.948.339.898.719;$20.060.293.835;$98.365;$102.229
05.01.2025;$1.946.611.205.641;$20.979.035.421;$98.257;$98.365
04.01.2025;$1.942.834.829.350;$35.721.645.948;$98.084;$98.257
03.01.2025;$1.917.905.016.064;$45.157.338.603;$96.852;$98.084
02.01.2025;$1.869.193.319.140;$23.275.007.789;$94.384;$96.852
01.01.2025;$1.851.839.954.625;$45.327.464.908;$93.508;$94.384
31.12.2024;$1.833.188.187.478;$57.595.164.139;$92.627;$93.508
30.12.2024;$1.854.872.605.739;$24.065.314.500;$93.663;$92.627
29.12.2024;$1.885.556.552.231;$22.429.850.904;$95.185;$93.663
